Country,Element,Item,Year,Value
Afghanistan,Production,Rice (Milled Equivalent),1985,211000
Afghanistan,Production,Rice (Milled Equivalent),1990,222000
Afghanistan,Production,Rice (Milled Equivalent),1995,260000
Afghanistan,Production,Rice (Milled Equivalent),2000,173000
Afghanistan,Production,Rice (Milled Equivalent),2005,323000
Afghanistan,Production,Rice (Milled Equivalent),2010,448000
Afghanistan,Production,Rice (Milled Equivalent),2011,448000
Afghanistan,Production,Rice (Milled Equivalent),2012,334000
Afghanistan,Production,Rice (Milled Equivalent),2013,342000
Afghanistan,Import Quantity,Rice (Milled Equivalent),1965,0
Afghanistan,Import Quantity,Rice (Milled Equivalent),1970,0
Afghanistan,Import Quantity,Rice (Milled Equivalent),1975,0
Afghanistan,Import Quantity,Rice (Milled Equivalent),1980,13000
Afghanistan,Import Quantity,Rice (Milled Equivalent),1985,0
Afghanistan,Import Quantity,Rice (Milled Equivalent),1990,5000
Afghanistan,Import Quantity,Rice (Milled Equivalent),1995,90000
Afghanistan,Import Quantity,Rice (Milled Equivalent),2000,219000
Afghanistan,Import Quantity,Rice (Milled Equivalent),2005,155000
Afghanistan,Import Quantity,Rice (Milled Equivalent),2010,40000
Afghanistan,Import Quantity,Rice (Milled Equivalent),2011,73000
Afghanistan,Import Quantity,Rice (Milled Equivalent),2012,130000
Afghanistan,Import Quantity,Rice (Milled Equivalent),2013,119000
Afghanistan,Production,Barley and products,1965,380000
Afghanistan,Production,Barley and products,1970,370000
Afghanistan,Production,Barley and products,1975,384000
Afghanistan,Production,Barley and products,1980,321000
Afghanistan,Production,Barley and products,1985,240000
Afghanistan,Production,Barley and products,1990,216000
Afghanistan,Production,Barley and products,1995,200000
Afghanistan,Production,Barley and products,2000,74000
Afghanistan,Production,Barley and products,2005,337000
Afghanistan,Production,Barley and products,2010,437000
Afghanistan,Production,Barley and products,2011,306000
Afghanistan,Production,Barley and products,2012,504000
Afghanistan,Production,Barley and products,2013,514000
Afghanistan,Import Quantity,Barley and products,1965,0
Afghanistan,Import Quantity,Barley and products,1970,0
Afghanistan,Import Quantity,Barley and products,1975,0
Afghanistan,Import Quantity,Barley and products,1980,0
Afghanistan,Import Quantity,Barley and products,1985,0
Afghanistan,Import Quantity,Barley and products,1990,0
Afghanistan,Import Quantity,Barley and products,1995,4000
Afghanistan,Import Quantity,Barley and products,2000,5000
Afghanistan,Import Quantity,Barley and products,2005,1000
Afghanistan,Import Quantity,Barley and products,2010,3000
Afghanistan,Import Quantity,Barley and products,2011,34000
Afghanistan,Import Quantity,Barley and products,2012,15000
Afghanistan,Import Quantity,Barley and products,2013,10000
Afghanistan,Production,Maize and products,1965,720000
Afghanistan,Production,Maize and products,1970,667000
Afghanistan,Production,Maize and products,1975,780000
Afghanistan,Production,Maize and products,1980,752000
Afghanistan,Production,Maize and products,1985,577000
Afghanistan,Production,Maize and products,1990,480000
Afghanistan,Production,Maize and products,1995,530000
Afghanistan,Production,Maize and products,2000,115000
Afghanistan,Production,Maize and products,2005,315000
Afghanistan,Production,Maize and products,2010,301000
Afghanistan,Production,Maize and products,2011,300000
Afghanistan,Production,Maize and products,2012,310000
Afghanistan,Production,Maize and products,2013,312000
Afghanistan,Import Quantity,Maize and products,1965,0
Afghanistan,Import Quantity,Maize and products,1970,0
Afghanistan,Import Quantity,Maize and products,1975,0
Afghanistan,Import Quantity,Maize and products,1980,0
Afghanistan,Import Quantity,Maize and products,1985,0
Afghanistan,Import Quantity,Maize and products,1990,0
Afghanistan,Import Quantity,Maize and products,1995,0
Afghanistan,Import Quantity,Maize and products,2000,0
Afghanistan,Import Quantity,Maize and products,2005,0
Afghanistan,Import Quantity,Maize and products,2010,0
Afghanistan,Import Quantity,Maize and products,2011,3000
Afghanistan,Import Quantity,Maize and products,2012,4000
Afghanistan,Import Quantity,Maize and products,2013,1000
Afghanistan,Production,Millet and products,1965,23000
Afghanistan,Production,Millet and products,1970,28000
Afghanistan,Production,Millet and products,1975,32000
Afghanistan,Production,Millet and products,1980,34000
Afghanistan,Production,Millet and products,1985,27000
Afghanistan,Production,Millet and products,1990,26000
Afghanistan,Production,Millet and products,1995,23000
Afghanistan,Production,Millet and products,2000,22000
Afghanistan,Production,Millet and products,2005,22000
Afghanistan,Production,Millet and products,2010,15000
Afghanistan,Production,Millet and products,2011,15000
Afghanistan,Production,Millet and products,2012,15000
Afghanistan,Production,Millet and products,2013,13000
Albania,Total Population - Both sexes,Population,1965,1874000
Albania,Total Population - Both sexes,Population,1970,2139000
Albania,Total Population - Both sexes,Population,1975,2427000
Albania,Total Population - Both sexes,Population,1980,2735000
Albania,Total Population - Both sexes,Population,1985,3078000
Albania,Total Population - Both sexes,Population,1990,3447000
Albania,Total Population - Both sexes,Population,1995,3358000
Albania,Total Population - Both sexes,Population,2000,3305000
Albania,Total Population - Both sexes,Population,2005,3196000
Albania,Total Population - Both sexes,Population,2010,3150000
Albania,Total Population - Both sexes,Population,2011,3154000
Albania,Total Population - Both sexes,Population,2012,3162000
Albania,Total Population - Both sexes,Population,2013,3173000
Albania,Production,Wheat and products,1965,120000
Albania,Production,Wheat and products,1970,227000
Albania,Production,Wheat and products,1975,310000
Albania,Production,Wheat and products,1980,496000
Albania,Production,Wheat and products,1985,603000
Albania,Production,Wheat and products,1990,613000
Albania,Production,Wheat and products,1995,405000
Albania,Production,Wheat and products,2000,341000
Albania,Production,Wheat and products,2005,260000
Albania,Production,Wheat and products,2010,295000
Albania,Production,Wheat and products,2011,293000
Albania,Production,Wheat and products,2012,300000
Albania,Production,Wheat and products,2013,294000
Albania,Import Quantity,Wheat and products,1965,136000
Albania,Import Quantity,Wheat and products,1970,77000
Albania,Import Quantity,Wheat and products,1975,70000
Albania,Import Quantity,Wheat and products,1980,25000
Albania,Import Quantity,Wheat and products,1985,60000
Albania,Import Quantity,Wheat and products,1990,129000
Albania,Import Quantity,Wheat and products,1995,87000
Albania,Import Quantity,Wheat and products,2000,374000
Albania,Import Quantity,Wheat and products,2005,417000
Albania,Import Quantity,Wheat and products,2010,362000
Albania,Import Quantity,Wheat and products,2011,389000
Albania,Import Quantity,Wheat and products,2012,377000
Albania,Import Quantity,Wheat and products,2013,360000
Albania,Production,Rice (Milled Equivalent),1965,7000
Albania,Production,Rice (Milled Equivalent),1970,10000
Albania,Production,Rice (Milled Equivalent),1975,9000
Albania,Production,Rice (Milled Equivalent),1980,9000
Albania,Production,Rice (Milled Equivalent),1985,8000
Albania,Production,Rice (Milled Equivalent),1990,5000
Albania,Production,Rice (Milled Equivalent),1995,0
Albania,Production,Rice (Milled Equivalent),2000,0
Albania,Production,Rice (Milled Equivalent),2005,0
Albania,Production,Rice (Milled Equivalent),2010,0
Albania,Production,Rice (Milled Equivalent),2011,0
Albania,Production,Rice (Milled Equivalent),2012,0
Albania,Production,Rice (Milled Equivalent),2013,0
Albania,Import Quantity,Rice (Milled Equivalent),1965,0
Albania,Import Quantity,Rice (Milled Equivalent),1970,0
Albania,Import Quantity,Rice (Milled Equivalent),1975,0
Albania,Import Quantity,Rice (Milled Equivalent),1980,6000
Albania,Import Quantity,Rice (Milled Equivalent),1985,7000
Albania,Import Quantity,Rice (Milled Equivalent),1990,12000
Albania,Import Quantity,Rice (Milled Equivalent),1995,73000
Albania,Import Quantity,Rice (Milled Equivalent),2000,18000
Albania,Import Quantity,Rice (Milled Equivalent),2005,24000
Albania,Import Quantity,Rice (Milled Equivalent),2010,24000
Albania,Import Quantity,Rice (Milled Equivalent),2011,21000
Albania,Import Quantity,Rice (Milled Equivalent),2012,25000
Albania,Import Quantity,Rice (Milled Equivalent),2013,25000
Albania,Production,Barley and products,1965,7000
Albania,Production,Barley and products,1970,10000
Albania,Production,Barley and products,1975,10000
Albania,Production,Barley and products,1980,25000
Albania,Production,Barley and products,1985,30000
Albania,Production,Barley and products,1990,5000
Albania,Production,Barley and products,1995,7000
Albania,Production,Barley and products,2000,2000
Albania,Production,Barley and products,2005,4000
Albania,Production,Barley and products,2010,7000
Albania,Production,Barley and products,2011,9000
Albania,Production,Barley and products,2012,7000
Albania,Production,Barley and products,2013,7000
Albania,Import Quantity,Barley and products,1965,0
Albania,Import Quantity,Barley and products,1970,0
Albania,Import Quantity,Barley and products,1975,0
Albania,Import Quantity,Barley and products,1980,3000
Albania,Import Quantity,Barley and products,1985,3000
Albania,Import Quantity,Barley and products,1990,5000
Albania,Import Quantity,Barley and products,1995,4000
Albania,Import Quantity,Barley and products,2000,6000
Albania,Import Quantity,Barley and products,2005,10000
Albania,Import Quantity,Barley and products,2010,10000
Albania,Import Quantity,Barley and products,2011,11000
Albania,Import Quantity,Barley and products,2012,11000
Albania,Import Quantity,Barley and products,2013,14000
Albania,Production,Maize and products,1965,166000
Albania,Production,Maize and products,1970,227000
Albania,Production,Maize and products,1975,270000
Albania,Production,Maize and products,1980,277000
Albania,Production,Maize and products,1985,274000
Albania,Production,Maize and products,1990,227000
Albania,Production,Maize and products,1995,216000
Albania,Production,Maize and products,2000,206000
Albania,Production,Maize and products,2005,220000
Albania,Production,Maize and products,2010,362000
Albania,Production,Maize and products,2011,366000
Albania,Production,Maize and products,2012,360000
Albania,Production,Maize and products,2013,372000
Albania,Import Quantity,Maize and products,1965,25000
Albania,Import Quantity,Maize and products,1970,8000
Albania,Import Quantity,Maize and products,1975,22000
Albania,Import Quantity,Maize and products,1980,10000
Albania,Import Quantity,Maize and products,1985,8000
Albania,Import Quantity,Maize and products,1990,26000
Albania,Import Quantity,Maize and products,1995,0
Albania,Import Quantity,Maize and products,2000,44000
Albania,Import Quantity,Maize and products,2005,55000
Albania,Import Quantity,Maize and products,2010,71000
Albania,Import Quantity,Maize and products,2011,52000
Albania,Import Quantity,Maize and products,2012,51000
Albania,Import Quantity,Maize and products,2013,68000
Albania,Import Quantity,Millet and products,1965,0
Albania,Import Quantity,Millet and products,1970,0
Albania,Import Quantity,Millet and products,1975,0
Albania,Import Quantity,Millet and products,1980,0
Albania,Import Quantity,Millet and products,1985,0
Albania,Import Quantity,Millet and products,1990,0
Albania,Import Quantity,Millet and products,1995,0
Albania,Import Quantity,Millet and products,2000,0
Albania,Import Quantity,Millet and products,2005,0
Albania,Import Quantity,Millet and products,2010,0
Albania,Import Quantity,Millet and products,2011,0
Albania,Import Quantity,Millet and products,2012,0
Albania,Import Quantity,Millet and products,2013,0
Algeria,Total Population - Both sexes,Population,1965,12771000
Algeria,Total Population - Both sexes,Population,1970,14691000
Algeria,Total Population - Both sexes,Population,1975,16834000
Algeria,Total Population - Both sexes,Population,1980,19475000
Algeria,Total Population - Both sexes,Population,1985,22847000
Algeria,Total Population - Both sexes,Population,1990,26240000
Algeria,Total Population - Both sexes,Population,1995,29315000
Algeria,Total Population - Both sexes,Population,2000,31719000
Algeria,Total Population - Both sexes,Population,2005,33961000
Algeria,Total Population - Both sexes,Population,2010,37063000
Algeria,Total Population - Both sexes,Population,2011,37763000
Algeria,Total Population - Both sexes,Population,2012,38482000
Algeria,Total Population - Both sexes,Population,2013,39208000
Algeria,Production,Wheat and products,1965,1325000
Algeria,Production,Wheat and products,1970,1435000
Algeria,Production,Wheat and products,1975,1848000
Algeria,Production,Wheat and products,1980,1511000
Algeria,Production,Wheat and products,1985,1478000
Algeria,Production,Wheat and products,1990,750000
Algeria,Production,Wheat and products,1995,1500000
Algeria,Production,Wheat and products,2000,760000
Algeria,Production,Wheat and products,2005,2415000
Algeria,Production,Wheat and products,2010,2605000
Algeria,Production,Wheat and products,2011,2555000
Algeria,Production,Wheat and products,2012,3432000
Algeria,Production,Wheat and products,2013,3299000
Algeria,Import Quantity,Wheat and products,1965,273000
Algeria,Import Quantity,Wheat and products,1970,342000
Algeria,Import Quantity,Wheat and products,1975,1573000
Algeria,Import Quantity,Wheat and products,1980,2916000
Algeria,Import Quantity,Wheat and products,1985,3972000
Algeria,Import Quantity,Wheat and products,1990,3540000
Algeria,Import Quantity,Wheat and products,1995,4995000
Algeria,Import Quantity,Wheat and products,2000,5379000
Algeria,Import Quantity,Wheat and products,2005,5697000
Algeria,Import Quantity,Wheat and products,2010,5109000
Algeria,Import Quantity,Wheat and products,2011,7487000
Algeria,Import Quantity,Wheat and products,2012,6385000
Algeria,Import Quantity,Wheat and products,2013,6343000
Algeria,Production,Rice (Milled Equivalent),1965,4000
Algeria,Production,Rice (Milled Equivalent),1970,1000
Algeria,Production,Rice (Milled Equivalent),1975,1000
Algeria,Production,Rice (Milled Equivalent),1980,1000
Algeria,Production,Rice (Milled Equivalent),1985,1000
Algeria,Production,Rice (Milled Equivalent),1990,1000
Algeria,Production,Rice (Milled Equivalent),1995,1000
Algeria,Production,Rice (Milled Equivalent),2000,0
Algeria,Production,Rice (Milled Equivalent),2005,0
Algeria,Production,Rice (Milled Equivalent),2010,0
Algeria,Production,Rice (Milled Equivalent),2011,0
Algeria,Production,Rice (Milled Equivalent),2012,0
Algeria,Production,Rice (Milled Equivalent),2013,0
Algeria,Import Quantity,Rice (Milled Equivalent),1965,2000
Algeria,Import Quantity,Rice (Milled Equivalent),1970,5000
Algeria,Import Quantity,Rice (Milled Equivalent),1975,8000
Algeria,Import Quantity,Rice (Milled Equivalent),1980,29000
Algeria,Import Quantity,Rice (Milled Equivalent),1985,21000
Algeria,Import Quantity,Rice (Milled Equivalent),1990,5000
Algeria,Import Quantity,Rice (Milled Equivalent),1995,15000
Algeria,Import Quantity,Rice (Milled Equivalent),2000,68000
Algeria,Import Quantity,Rice (Milled Equivalent),2005,53000
Algeria,Import Quantity,Rice (Milled Equivalent),2010,103000
Algeria,Import Quantity,Rice (Milled Equivalent),2011,86000
Algeria,Import Quantity,Rice (Milled Equivalent),2012,107000
Algeria,Import Quantity,Rice (Milled Equivalent),2013,118000
Algeria,Production,Barley and products,1965,379000
Algeria,Production,Barley and products,1970,571000
Algeria,Production,Barley and products,1975,743000
Algeria,Production,Barley and products,1980,794000
Algeria,Production,Barley and products,1985,1330000
Algeria,Production,Barley and products,1990,833000
Algeria,Production,Barley and products,1995,585000
Algeria,Production,Barley and products,2000,163000
Algeria,Production,Barley and products,2005,1033000
Algeria,Production,Barley and products,2010,1308000
Algeria,Production,Barley and products,2011,1104000
Algeria,Production,Barley and products,2012,1592000
Algeria,Production,Barley and products,2013,1499000
Algeria,Import Quantity,Barley and products,1965,42000
Algeria,Import Quantity,Barley and products,1970,12000
Algeria,Import Quantity,Barley and products,1975,60000
Algeria,Import Quantity,Barley and products,1980,279000
Algeria,Import Quantity,Barley and products,1985,543000
Algeria,Import Quantity,Barley and products,1990,284000
Algeria,Import Quantity,Barley and products,1995,160000
Algeria,Import Quantity,Barley and products,2000,582000
Algeria,Import Quantity,Barley and products,2005,157000
Algeria,Import Quantity,Barley and products,2010,184000
Algeria,Import Quantity,Barley and products,2011,416000
Algeria,Import Quantity,Barley and products,2012,435000
Algeria,Import Quantity,Barley and products,2013,553000
Algeria,Production,Maize and products,1965,4000
Algeria,Production,Maize and products,1970,6000
Algeria,Production,Maize and products,1975,7000
Algeria,Production,Maize and products,1980,1000
Algeria,Production,Maize and products,1985,1000
Algeria,Production,Maize and products,1990,0
Algeria,Production,Maize and products,1995,0
Algeria,Production,Maize and products,2000,2000
Algeria,Production,Maize and products,2005,1000
Algeria,Production,Maize and products,2010,0
Algeria,Production,Maize and products,2011,1000
Algeria,Production,Maize and products,2012,2000
Algeria,Production,Maize and products,2013,1000
Algeria,Import Quantity,Maize and products,1965,4000
Algeria,Import Quantity,Maize and products,1970,13000
Algeria,Import Quantity,Maize and products,1975,29000
Algeria,Import Quantity,Maize and products,1980,107000
Algeria,Import Quantity,Maize and products,1985,664000
Algeria,Import Quantity,Maize and products,1990,988000
Algeria,Import Quantity,Maize and products,1995,904000
Algeria,Import Quantity,Maize and products,2000,1492000
Algeria,Import Quantity,Maize and products,2005,2392000
Algeria,Import Quantity,Maize and products,2010,2622000
Algeria,Import Quantity,Maize and products,2011,3178000
Algeria,Import Quantity,Maize and products,2012,3071000
Algeria,Import Quantity,Maize and products,2013,3251000
Algeria,Import Quantity,Millet and products,1965,0
Algeria,Import Quantity,Millet and products,1970,0
Algeria,Import Quantity,Millet and products,1975,0
Algeria,Import Quantity,Millet and products,1980,0
Algeria,Import Quantity,Millet and products,1985,0
Algeria,Import Quantity,Millet and products,1990,0
Algeria,Import Quantity,Millet and products,1995,0
Algeria,Import Quantity,Millet and products,2000,1000
Algeria,Import Quantity,Millet and products,2005,0
Algeria,Import Quantity,Millet and products,2010,0
Algeria,Import Quantity,Millet and products,2011,1000
Algeria,Import Quantity,Millet and products,2012,1000
Algeria,Import Quantity,Millet and products,2013,1000
Angola,Total Population - Both sexes,Population,1965,5434000
Angola,Total Population - Both sexes,Population,1970,5928000
Angola,Total Population - Both sexes,Population,1975,6638000
Angola,Total Population - Both sexes,Population,1980,7637000
Angola,Total Population - Both sexes,Population,1985,9064000
Angola,Total Population - Both sexes,Population,1990,10334000
Angola,Total Population - Both sexes,Population,1995,12105000
Angola,Total Population - Both sexes,Population,2000,13925000
Angola,Total Population - Both sexes,Population,2005,16544000
Angola,Total Population - Both sexes,Population,2010,19549000
Angola,Total Population - Both sexes,Population,2011,20180000
Angola,Total Population - Both sexes,Population,2012,20821000
Angola,Total Population - Both sexes,Population,2013,21472000
Angola,Production,Wheat and products,1965,20000
Angola,Production,Wheat and products,1970,12000
Angola,Production,Wheat and products,1975,13000
Angola,Production,Wheat and products,1980,7000
Angola,Production,Wheat and products,1985,3000
Angola,Production,Wheat and products,1990,3000
Angola,Production,Wheat and products,1995,5000
Angola,Production,Wheat and products,2000,4000
Angola,Production,Wheat and products,2005,4000
Angola,Production,Wheat and products,2010,4000
Angola,Production,Wheat and products,2011,4000
Angola,Production,Wheat and products,2012,4000
Angola,Production,Wheat and products,2013,4000
Angola,Import Quantity,Wheat and products,1965,48000
Angola,Import Quantity,Wheat and products,1970,94000
Angola,Import Quantity,Wheat and products,1975,97000
Angola,Import Quantity,Wheat and products,1980,151000
Angola,Import Quantity,Wheat and products,1985,125000
Angola,Import Quantity,Wheat and products,1990,143000
Angola,Import Quantity,Wheat and products,1995,252000
Angola,Import Quantity,Wheat and products,2000,408000
Angola,Import Quantity,Wheat and products,2005,600000
Angola,Import Quantity,Wheat and products,2010,650000
Angola,Import Quantity,Wheat and products,2011,813000
Angola,Import Quantity,Wheat and products,2012,865000
Angola,Import Quantity,Wheat and products,2013,972000
Angola,Production,Rice (Milled Equivalent),1965,21000
Angola,Production,Rice (Milled Equivalent),1970,20000
Angola,Production,Rice (Milled Equivalent),1975,13000
Angola,Production,Rice (Milled Equivalent),1980,7000
Angola,Production,Rice (Milled Equivalent),1985,3000
Angola,Production,Rice (Milled Equivalent),1990,2000
Angola,Production,Rice (Milled Equivalent),1995,13000
Angola,Production,Rice (Milled Equivalent),2000,4000
Angola,Production,Rice (Milled Equivalent),2005,6000
Angola,Production,Rice (Milled Equivalent),2010,12000
Angola,Production,Rice (Milled Equivalent),2011,15000
Angola,Production,Rice (Milled Equivalent),2012,14000
Angola,Production,Rice (Milled Equivalent),2013,25000
Angola,Import Quantity,Rice (Milled Equivalent),1965,2000
Angola,Import Quantity,Rice (Milled Equivalent),1970,5000
Angola,Import Quantity,Rice (Milled Equivalent),1975,11000
Angola,Import Quantity,Rice (Milled Equivalent),1980,55000
Angola,Import Quantity,Rice (Milled Equivalent),1985,58000
Angola,Import Quantity,Rice (Milled Equivalent),1990,98000
Angola,Import Quantity,Rice (Milled Equivalent),1995,31000
Angola,Import Quantity,Rice (Milled Equivalent),2000,85000
Angola,Import Quantity,Rice (Milled Equivalent),2005,204000
Angola,Import Quantity,Rice (Milled Equivalent),2010,212000
Angola,Import Quantity,Rice (Milled Equivalent),2011,217000
Angola,Import Quantity,Rice (Milled Equivalent),2012,361000
Angola,Import Quantity,Rice (Milled Equivalent),2013,312000
Angola,Import Quantity,Barley and products,1965,6000
Angola,Import Quantity,Barley and products,1970,13000
Angola,Import Quantity,Barley and products,1975,5000
Angola,Import Quantity,Barley and products,1980,14000
Angola,Import Quantity,Barley and products,1985,10000
Angola,Import Quantity,Barley and products,1990,5000
Angola,Import Quantity,Barley and products,1995,9000
Angola,Import Quantity,Barley and products,2000,22000
Angola,Import Quantity,Barley and products,2005,50000
Angola,Import Quantity,Barley and products,2010,98000
Angola,Import Quantity,Barley and products,2011,94000
Angola,Import Quantity,Barley and products,2012,77000
Angola,Import Quantity,Barley and products,2013,99000
Angola,Production,Maize and products,1965,450000
Angola,Production,Maize and products,1970,456000
Angola,Production,Maize and products,1975,450000
Angola,Production,Maize and products,1980,360000
Angola,Production,Maize and products,1985,250000
Angola,Production,Maize and products,1990,180000
Angola,Production,Maize and products,1995,211000
Angola,Production,Maize and products,2000,395000
Angola,Production,Maize and products,2005,734000
Angola,Production,Maize and products,2010,1073000
Angola,Production,Maize and products,2011,1262000
Angola,Production,Maize and products,2012,454000
Angola,Production,Maize and products,2013,1549000
Angola,Import Quantity,Maize and products,1965,4000
Angola,Import Quantity,Maize and products,1970,0
Angola,Import Quantity,Maize and products,1975,55000
Angola,Import Quantity,Maize and products,1980,143000
Angola,Import Quantity,Maize and products,1985,80000
Angola,Import Quantity,Maize and products,1990,107000
Angola,Import Quantity,Maize and products,1995,165000
Angola,Import Quantity,Maize and products,2000,205000
Angola,Import Quantity,Maize and products,2005,248000
Angola,Import Quantity,Maize and products,2010,179000
Angola,Import Quantity,Maize and products,2011,232000
Angola,Import Quantity,Maize and products,2012,242000
Angola,Import Quantity,Maize and products,2013,852000
Angola,Production,Millet and products,1965,60000
Angola,Production,Millet and products,1970,78000
Angola,Production,Millet and products,1975,75000
Angola,Production,Millet and products,1980,57000
Angola,Production,Millet and products,1985,50000
Angola,Production,Millet and products,1990,63000
Angola,Production,Millet and products,1995,61000
Angola,Production,Millet and products,2000,105000
Angola,Production,Millet and products,2005,138000
Angola,Production,Millet and products,2010,41000
Angola,Production,Millet and products,2011,61000
Angola,Production,Millet and products,2012,18000
Angola,Production,Millet and products,2013,39000
Angola,Import Quantity,Millet and products,1965,0
Angola,Import Quantity,Millet and products,1970,0
Angola,Import Quantity,Millet and products,1975,0
Angola,Import Quantity,Millet and products,1980,0
Angola,Import Quantity,Millet and products,1985,0
Angola,Import Quantity,Millet and products,1990,0
Angola,Import Quantity,Millet and products,1995,0
Angola,Import Quantity,Millet and products,2000,0
Angola,Import Quantity,Millet and products,2005,3000
Angola,Import Quantity,Millet and products,2010,0
Angola,Import Quantity,Millet and products,2011,0
Angola,Import Quantity,Millet and products,2012,0
Angola,Import Quantity,Millet and products,2013,0
Antigua and Barbuda,Total Population - Both sexes,Population,1965,60000
Antigua and Barbuda,Total Population - Both sexes,Population,1970,65000
Antigua and Barbuda,Total Population - Both sexes,Population,1975,69000
Antigua and Barbuda,Total Population - Both sexes,Population,1980,70000
Antigua and Barbuda,Total Population - Both sexes,Population,1985,66000
Antigua and Barbuda,Total Population - Both sexes,Population,1990,62000
Antigua and Barbuda,Total Population - Both sexes,Population,1995,68000
Antigua and Barbuda,Total Population - Both sexes,Population,2000,78000
Antigua and Barbuda,Total Population - Both sexes,Population,2005,83000
Antigua and Barbuda,Total Population - Both sexes,Population,2010,87000
Antigua and Barbuda,Total Population - Both sexes,Population,2011,88000
Antigua and Barbuda,Total Population - Both sexes,Population,2012,89000
Antigua and Barbuda,Total Population - Both sexes,Population,2013,90000
Antigua and Barbuda,Import Quantity,Wheat and products,1965,6000
Antigua and Barbuda,Import Quantity,Wheat and products,1970,4000
Antigua and Barbuda,Import Quantity,Wheat and products,1975,5000
Antigua and Barbuda,Import Quantity,Wheat and products,1980,4000
Antigua and Barbuda,Import Quantity,Wheat and products,1985,5000
Antigua and Barbuda,Import Quantity,Wheat and products,1990,5000
Antigua and Barbuda,Import Quantity,Wheat and products,1995,6000
Antigua and Barbuda,Import Quantity,Wheat and products,2000,6000
Antigua and Barbuda,Import Quantity,Wheat and products,2005,9000
Antigua and Barbuda,Import Quantity,Wheat and products,2010,6000
Antigua and Barbuda,Import Quantity,Wheat and products,2011,10000
Antigua and Barbuda,Import Quantity,Wheat and products,2012,2000
Antigua and Barbuda,Import Quantity,Wheat and products,2013,9000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),1965,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),1970,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),1975,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),1980,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),1985,0
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),1990,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),1995,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),2000,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),2005,2000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),2010,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),2011,2000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),2012,1000
Antigua and Barbuda,Import Quantity,Rice (Milled Equivalent),2013,2000
Antigua and Barbuda,Import Quantity,Barley and products,1965,0
Antigua and Barbuda,Import Quantity,Barley and products,1970,0
Antigua and Barbuda,Import Quantity,Barley and products,1975,0
Antigua and Barbuda,Import Quantity,Barley and products,1980,0
Antigua and Barbuda,Import Quantity,Barley and products,1985,0
Antigua and Barbuda,Import Quantity,Barley and products,1990,0
